0,1
1,1
2,1
3,1
4,1
5,2
6,2
7,4
8,4
9,6
10,5
11,7
12,9
13,8
14,12
15,17
16,12
17,16
18,9
19,15
20,22
21,11
22,18
23,22
24,14
25,23
26,9
27,17
28,30
29,10
30,23
31,6
32,13
33,25
34,7
35,14
36,22
37,8
38,16
39,4
40,10
41,22
42,7
43,15
44,3
45,9
46,21
47,5
48,11
49,15
50,4
51,10
52,3
53,8
54,15
55,3
56,8
58,3
59,10
60,1
61,5
63,1
64,7
65,1
66,2
67,4
68,2
69,6
70,2
71,3
72,6
73,1
74,3
76,1
77,3
78,1
79,2
80,1
81,2
82,3
83,1
84,2
85,6
86,2
87,5
88,2
89,3
90,6
91,2
92,4
93,3
94,3
95,7
96,2
97,5
98,10
99,2
100,5
101,2
102,4
103,7
104,4
105,6
106,4
107,6
108,8
109,5
110,7
111,5
112,7
113,10
114,4
115,7
116,14
117,6
118,11
119,4
120,8
121,14
122,4
123,9
124,1
125,5
126,11
127,2
128,6
129,15
130,1
131,7
133,3
134,9
136,2
139,3
141,2
142,5
143,1
144,4
147,5
152,2
170,1
173,1
178,1
